Id Database record;Name_site;Province;Country;Region;Laboratory;CRA;Error;Life;Method;Sample;Type;Specie;13C;15N;CN;Level;SU or UE;Period;Phase;Cultural_horizon;Periodization;Cultural info;LongGM;LatGM;Short reference;Bibliography
212;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-32143;7132;41;Short;AMS;Bone;Singular;Human;-16;13.9;3.3;Burial 2011-1 / Jean Roche area (below shellmidden);Basal phase (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
213;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-32142;6910;40;Short;AMS;Bone;Singular;Human;-15.7;12.9;3.3;Burial 2011-2 = Layer 2b / Jean Roche area (below shellmidden);Burial phase 2 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
214;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-42844;6633;20;Short;AMS;Bone;Singular;Cervus elaphus;;;;Animal I / Layer 4;;Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2017;Bicho, N., Cascalheira, J., Gonçalves, C., Umbelino, C., García Rivero, D., André, L., 2017. Resilience, replacement and acculturation in the Mesolithic/Neolithic transition: The case of Muge, central Portugal. Quat. Int.
215;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-42841;7051;22;Long;AMS;Charcoal;Singular;Pinus sp.;;;;Main area Layer W / Bicho area;;Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2017;Bicho, N., Cascalheira, J., Gonçalves, C., Umbelino, C., García Rivero, D., André, L., 2017. Resilience, replacement and acculturation in the Mesolithic/Neolithic transition: The case of Muge, central Portugal. Quat. Int.
216;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-40699;7281;20;Short;AMS;Shell;Singular;Cerastodema edule;;;;Main area / Layer Z / Bicho area;;Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2017;Bicho, N., Cascalheira, J., Gonçalves, C., Umbelino, C., García Rivero, D., André, L., 2017. Resilience, replacement and acculturation in the Mesolithic/Neolithic transition: The case of Muge, central Portugal. Quat. Int.
217;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-40700;7197;25;Long;AMS;Charcoal;Singular;n.d;;;;Main area / Layer Z / Bicho area;;Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2017;Bicho, N., Cascalheira, J., Gonçalves, C., Umbelino, C., García Rivero, D., André, L., 2017. Resilience, replacement and acculturation in the Mesolithic/Neolithic transition: The case of Muge, central Portugal. Quat. Int.
218;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;TO-10218;6630;60;Short;AMS;Bone;Singular;Human;-17.1;;;Base;CA-00-01  (89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.48635;39.12782;Gibaja y Carvalho 2010;Gibaja Bao, J.F., Carvalho, A.F. (Eds.), 2010. Os últimos caçadores-recolectores e as primeiras comunidades productoras do sul da Península Ibérica e do norte de Marrocos. Universidade do Algarve, Faro.
219;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;TO-10217;6620;60;Short;AMS;Bone;Singular;Human;-18.1;10.5;3.4;;CA-00-01 (89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Carvalho 2008;Carvalho, A.F., 2008. A Neolitização do Portugal Meridional: Os exemplos do Maciço Calcário Estremenho e do Algarve Ocidental, Promontoria Monográfica. Universidade do Algarbe, Faro.
220;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;Beta-127451;7550;100;Short;AMS;Bone;Singular;Human;-19.9;;;0.80 m from bottom;Burial 6 (layer 85-89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
221;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;TO-10216;7040;60;Short;AMS;Bone;Singular;Human;-17.9;10.6;3.2;Profile clean;Burial CA-00-02;Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
222;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;TO-10215;7410;70;Long;n.d;Charcoal;n.d;n.d;;;;Lower;;Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
223;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;TO-354;6970;60;Short;AMS;Bone;Singular;Human;-19;12.2;;Basal sand (Layer D);Burial A (89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Zilhao 2000;Zilhão, J., 2000. From the mesolithic to the neolithic in the Iberian peninsular, in: Douglas, P.T. (Ed.), Europe’s First Farmers. The press syndicate of the University of Cambrigde, Cambridge, pp. 144–182.
224;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;TO-355;6780;80;Short;AMS;Bone;Singular;Human;-18.9;10.3;;Basal sand (Layer D);Burial D (89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Zilhao 2000;Zilhão, J., 2000. From the mesolithic to the neolithic in the Iberian peninsular, in: Douglas, P.T. (Ed.), Europe’s First Farmers. The press syndicate of the University of Cambrigde, Cambridge, pp. 144–182.
225;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;TO-356;6360;80;Short;AMS;Bone;Singular;Human;-15.3;12.5;;Upper layers;Burial N (layer 3-6 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Zilhao 2000;Zilhão, J., 2000. From the mesolithic to the neolithic in the Iberian peninsular, in: Douglas, P.T. (Ed.), Europe’s First Farmers. The press syndicate of the University of Cambrigde, Cambridge, pp. 144–182.
226;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;"TO-359 
TO-359a";6960;60;Short;AMS;Bone;Singular;Human;-17.2;11.8;;Basal sand (Layer D);Burial 42 (89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Zilhao 2000;Zilhão, J., 2000. From the mesolithic to the neolithic in the Iberian peninsular, in: Douglas, P.T. (Ed.), Europe’s First Farmers. The press syndicate of the University of Cambrigde, Cambridge, pp. 144–182.
227;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;TO-360;6990;110;Short;Conventional;Bone;Singular;Human;-17.7;11.2;;Basal sand (Layer D);Burial 3 (89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Zilhao 2000;Zilhão, J., 2000. From the mesolithic to the neolithic in the Iberian peninsular, in: Douglas, P.T. (Ed.), Europe’s First Farmers. The press syndicate of the University of Cambrigde, Cambridge, pp. 144–182.
228;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;Ua-46274;7200;41;Short;Conventional;Bone;Singular;Human;-17.4;10.6;3.1;0.3 from bottom;Burial 9 (layer 87-89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Peyroteo-Stjerna 2016;Peyroteo-Stjerna , R., 2016. Death in the Mesolithic or the Mortuary Practices of the Last Hunter-Gatherers of the South-Western Iberian Peninsula, 7th–6th Millennium BCE, Occasional papers of Archaeology. University of Uppsala.
229;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;Ua-46275;7263;41;Short;Conventional;Bone;Singular;Human;-17.4;11.4;3.2;0.25 from bottom;Burial 10 (89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Peyroteo-Stjerna 2016;Peyroteo-Stjerna , R., 2016. Death in the Mesolithic or the Mortuary Practices of the Last Hunter-Gatherers of the South-Western Iberian Peninsula, 7th–6th Millennium BCE, Occasional papers of Archaeology. University of Uppsala.
230;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;Ua-46273;7198;40;Short;Conventional;Bone;Singular;Human;-17.3;10.1;3.1;1.20 m. from bottom;Burial 3 (layer 84-89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Peyroteo-Stjerna 2016;Peyroteo-Stjerna , R., 2016. Death in the Mesolithic or the Mortuary Practices of the Last Hunter-Gatherers of the South-Western Iberian Peninsula, 7th–6th Millennium BCE, Occasional papers of Archaeology. University of Uppsala.
231;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;Ua-47976;7261;45;Short;Conventional;Bone;Singular;Human;-17.1;9.7;3.1;bottom (Layer D);Burial 4;Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Peyroteo-Stjerna 2016;Peyroteo-Stjerna , R., 2016. Death in the Mesolithic or the Mortuary Practices of the Last Hunter-Gatherers of the South-Western Iberian Peninsula, 7th–6th Millennium BCE, Occasional papers of Archaeology. University of Uppsala.
232;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;Ua-47975;7116;44;Short;Conventional;Bone;Singular;Human;16.7;9.5;3.1;0.85 / 0.95 m. from bottom;Burial 2  (layer 84-89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Peyroteo-Stjerna 2016;Peyroteo-Stjerna , R., 2016. Death in the Mesolithic or the Mortuary Practices of the Last Hunter-Gatherers of the South-Western Iberian Peninsula, 7th–6th Millennium BCE, Occasional papers of Archaeology. University of Uppsala.
233;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;Ua-46272;7166;41;Short;Conventional;Bone;Singular;Human;-16.6;11.2;3.1;1.40 m from bottom;Burial 1 (layer 84-89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Peyroteo-Stjerna 2016;Peyroteo-Stjerna , R., 2016. Death in the Mesolithic or the Mortuary Practices of the Last Hunter-Gatherers of the South-Western Iberian Peninsula, 7th–6th Millennium BCE, Occasional papers of Archaeology. University of Uppsala.
234;Cabeço da Arruda;Distrito Santarem;Portugal;West Mediterranean;AA-101343;7351;70;Short;AMS;Bone;Singular;Human;-16.6;10.9;3.3;0.80 m. from bottom;Burial 6  (layer 85-89 Roche);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;-8.52185;39.1868;Jackes et al. 2014;Jackes, M., Lubell, D., Cunha, M.., 2014. Redating a Mesolithic skeleton from Cabeço da Arruda, Muge, Portugal. Mesolith. Misc. 22:2, 40–44.
235;Cabeço das Amoreiras;Distrito de Setúbal;Portugal;West Mediterranean;Beta-125110;7230;40;Short;AMS;Bone;Singular;Human;-19;9.5;2.9;Level A (based on TFM p.30);Burial 5 (layer 4);Mesolithic;Late;Castelnovian C;Late Mesolithic;10 trapeze / 15 triangle / 44 segment  [Nukushina TFM 2012] * no fiable;-8.39988;38.22594;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
236;Cabeço das Amoreiras;Distrito de Setúbal;Portugal;West Mediterranean;QAM-85B2b;6370;70;Short;Conventional;Shell;Bulk;n.d;;;;Level B (based on TFM p.30);camada 2a;Mesolithic;Late;Castelnovian C;Late Mesolithic;3 trapeze / 11 triangle / 36 segment  [Nukushina TFM 2012];-8.39988;38.22594;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
237;Cabeço das Amoreiras;Distrito de Setúbal;Portugal;West Mediterranean;QAM-85B2a;5990;75;Long;AMS;Charcoal;Bulk;n.d;;;;Level B (based on TFM p.30);camada 2b;Mesolithic;Late;Castelnovian C;Late Mesolithic;3 trapeze / 11 triangle / 36 segment  [Nukushina TFM 2012];-8.39988;38.22594;Zilhao 2000;Zilhão, J., 2000. From the mesolithic to the neolithic in the Iberian peninsular, in: Douglas, P.T. (Ed.), Europe’s First Farmers. The press syndicate of the University of Cambrigde, Cambridge, pp. 144–182.
238;Cabeço das Amoreiras;Distrito de Setúbal;Portugal;West Mediterranean;Ua-47973;6484;39;Short;AMS;Bone;Singular;Human;-20;7.6;3.3;Level A (Z = 130);Burial 4 (layer 4);Mesolithic;Late;Castelnovian C;Late Mesolithic;10 trapeze / 15 triangle / 44 segment  [Nukushina TFM 2012];-8.39988;38.22594;Peyroteo-Stjerna 2016;Peyroteo-Stjerna , R., 2016. Death in the Mesolithic or the Mortuary Practices of the Last Hunter-Gatherers of the South-Western Iberian Peninsula, 7th–6th Millennium BCE, Occasional papers of Archaeology. University of Uppsala.
239;Cabeço das Amoreiras;Distrito de Setúbal;Portugal;West Mediterranean;Ua-47974;6645;42;Short;AMS;Bone;Singular;Human;-20;8.2;3.3;Level C (Z = 120 / 140);Burial 7 (layer 4);Mesolithic;Late;Castelnovian C;Late Mesolithic;2 triangle / 15 segment  [Nukushina TFM 2012];-8.39988;38.22594;Peyroteo-Stjerna 2016;Peyroteo-Stjerna , R., 2016. Death in the Mesolithic or the Mortuary Practices of the Last Hunter-Gatherers of the South-Western Iberian Peninsula, 7th–6th Millennium BCE, Occasional papers of Archaeology. University of Uppsala.
240;Cabeço do Pez;Distrito de Setúbal;Portugal;West Mediterranean;Beta-125109;6760;40;Short;AMS;Bone;Singular;Human;-22.6;;;Layer 4 (Santos et al. 1974);Burial 4, Burial area A;Mesolithic;Late;Castelnovian B;Late Mesolithic;5 trapeze / 7 triangle / 1 segment  [Santos et al. 1974];-8.42844;38.3528;Carvalho 2008;Carvalho, A.F., 2008. A Neolitização do Portugal Meridional: Os exemplos do Maciço Calcário Estremenho e do Algarve Ocidental, Promontoria Monográfica. Universidade do Algarbe, Faro.
241;Cabeço do Pez;Distrito de Setúbal;Portugal;West Mediterranean;Q-2496;6050;70;Short;Conventional;Shell;Bulk;n.d;;;;Layer 3 (Santos et al. 1974);Middle;Mesolithic;Late;Castelnovian C;Late Mesolithic;5 trapeze / 5 triangle / 13 segment  [Santos et al. 1974];-8.42844;38.3528;Zilhao 2000;Zilhão, J., 2000. From the mesolithic to the neolithic in the Iberian peninsular, in: Douglas, P.T. (Ed.), Europe’s First Farmers. The press syndicate of the University of Cambrigde, Cambridge, pp. 144–182.
242;Cabeço do Pez;Distrito de Setúbal;Portugal;West Mediterranean;Q-2497;6350;80;Short;Conventional;Shell;Bulk;n.d;;;;Layer 3 (Santos et al. 1974);Middle;Mesolithic;Late;Castelnovian C;Late Mesolithic;5 trapeze / 5 triangle / 13 segment  [Santos et al. 1974];-8.42844;38.3528;Zilhao 2000;Zilhão, J., 2000. From the mesolithic to the neolithic in the Iberian peninsular, in: Douglas, P.T. (Ed.), Europe’s First Farmers. The press syndicate of the University of Cambrigde, Cambridge, pp. 144–182.
243;Cabeço do Pez;Distrito de Setúbal;Portugal;West Mediterranean;Sac-1558;6740;100;Short;AMS;Bone;Singular;Human;-19.3;;;Layer 4 (Santos et al. 1974);Burial 4, Burial area A;Mesolithic;Late;Castelnovian B;Late Mesolithic;5 trapeze / 7 triangle / 1 segment  [Santos et al. 1974];-8.42844;38.3528;Carvalho 2008;Carvalho, A.F., 2008. A Neolitização do Portugal Meridional: Os exemplos do Maciço Calcário Estremenho e do Algarve Ocidental, Promontoria Monográfica. Universidade do Algarbe, Faro.
244;Cabeço do Pez;Distrito de Setúbal;Portugal;West Mediterranean;Ua-46933;6788;46;Short;AMS;Bone;Singular;Human;-20.7;6.7;3.3;Layer 4 (Santos et al. 1974);Burial 11, Burial area B;Mesolithic;Late;Castelnovian B;Late Mesolithic;5 trapeze / 7 triangle / 1 segment  [Santos et al. 1974];-8.42844;38.3528;Peyroteo-Stjerna 2016;Peyroteo-Stjerna , R., 2016. Death in the Mesolithic or the Mortuary Practices of the Last Hunter-Gatherers of the South-Western Iberian Peninsula, 7th–6th Millennium BCE, Occasional papers of Archaeology. University of Uppsala.
245;Cabeço do Pez;Distrito de Setúbal;Portugal;West Mediterranean;Ua-46932;6780;48;Short;AMS;Bone;Singular;Human;-19.8;10.4;3.2;Layer 4 (Santos et al. 1974);Burial 9, Burial area B;Mesolithic;Late;Castelnovian B;Late Mesolithic;5 trapeze / 7 triangle / 1 segment  [Santos et al. 1974];-8.42844;38.3528;Peyroteo-Stjerna 2016;Peyroteo-Stjerna , R., 2016. Death in the Mesolithic or the Mortuary Practices of the Last Hunter-Gatherers of the South-Western Iberian Peninsula, 7th–6th Millennium BCE, Occasional papers of Archaeology. University of Uppsala.
246;Cabeço do Pez;Distrito de Setúbal;Portugal;West Mediterranean;Ua-46934;6734;51;Short;AMS;Bone;Singular;Human;-19.7;13.5;3.3;Layer 4 (Santos et al. 1974);Burial 27, Burial area A;Mesolithic;Late;Castelnovian B;Late Mesolithic;5 trapeze / 7 triangle / 1 segment  [Santos et al. 1974];-8.42844;38.3528;Peyroteo-Stjerna 2016;Peyroteo-Stjerna , R., 2016. Death in the Mesolithic or the Mortuary Practices of the Last Hunter-Gatherers of the South-Western Iberian Peninsula, 7th–6th Millennium BCE, Occasional papers of Archaeology. University of Uppsala.
247;Cabeço do Pez;Distrito de Setúbal;Portugal;West Mediterranean;Ua-46931;6791;43;Short;AMS;Bone;Singular;Human;-18.3;13;3.5;Layer 4 (Santos et al. 1974);Burial 5, Burial area A;Mesolithic;Late;Castelnovian B;Late Mesolithic;5 trapeze / 7 triangle / 1 segment  [Santos et al. 1974];-8.42844;38.3528;Peyroteo-Stjerna 2016;Peyroteo-Stjerna , R., 2016. Death in the Mesolithic or the Mortuary Practices of the Last Hunter-Gatherers of the South-Western Iberian Peninsula, 7th–6th Millennium BCE, Occasional papers of Archaeology. University of Uppsala.
248;Cabeço do Rebolador;Distrito de Setúbal;Portugal;West Mediterranean;ICEN-277;7140;70;Short;Conventional;Shell;Bulk;n.d;;;;Middle;;Mesolithic;Late;Castelnovian A;Late Mesolithic;20 trapeze / 5 triangle /  8 segment [Marchand 2001];-9.10046;38.84263;Carvalho 2008;Carvalho, A.F., 2008. A Neolitização do Portugal Meridional: Os exemplos do Maciço Calcário Estremenho e do Algarve Ocidental, Promontoria Monográfica. Universidade do Algarbe, Faro.
249;Cabeço do Rebolador;Distrito de Setúbal;Portugal;West Mediterranean;ICEN-278;7100;60;Short;Conventional;Shell;Bulk;n.d;;;;Middle;;Mesolithic;Late;Castelnovian A;Late Mesolithic;20 trapeze / 5 triangle /  8 segment [Marchand 2001];-9.10046;38.84263;Carvalho 2008;Carvalho, A.F., 2008. A Neolitização do Portugal Meridional: Os exemplos do Maciço Calcário Estremenho e do Algarve Ocidental, Promontoria Monográfica. Universidade do Algarbe, Faro.
262;Castelejo;Distrito de Faro;Portugal;West Mediterranean;Beta-2908;7450;90;Long;n.d;Charcoal;Bulk;n.d;;;;Middle;;Mesolithic;Early;Initial Mesolithic;Early Mesolithic;;-8.97248;37.04049;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
263;Castelejo;Distrito de Faro;Portugal;West Mediterranean;ICEN-743;7530;60;Short;n.d;Shell;Bulk;n.d;;;;Middle;;Mesolithic;Early;Initial Mesolithic;Early Mesolithic;;-8.97248;37.04049;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
264;Castelejo;Distrito de Faro;Portugal;West Mediterranean;ICEN-745;7910;60;Short;n.d;Shell;Bulk;n.d;;;;Middle;;Mesolithic;Early;Initial Mesolithic;Early Mesolithic;;-8.97248;37.04049;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
265;Castelejo;Distrito de Faro;Portugal;West Mediterranean;BM-2276R;8220;120;Short;n.d;Shell;Bulk;n.d;;;;Middle;;Mesolithic;Early;Initial Mesolithic;Early Mesolithic;;-8.97248;37.04049;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
291;Costa do Pereiro;Distrito de Santarem;Portugal;West Mediterranean;Wk-17026;7327;42;Short;AMS;Bone;Singular;Cervus sp.;;;;;c1b (base);Mesolithic;Late;Castelnovian A;Late Mesolithic;21 trapeze / 3 segment;-7.71699;40.5288;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
296;Cova da Onça;Distrito Santarem;Portugal;West Mediterranean;Beta-127448;7140;40;Short;AMS;Bone;Singular;Human;-17.2;;;Unknown;;Mesolithic;Late;Castelnovian B;Late Mesolithic;2 trapeze / 3 triangles [ Paço 1938];-8.71517;39.06579;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
297;Cova de Baleia;Distrito de Lisboa;Portugal;West Mediterranean;Beta-294170;8230;50;Long;AMS;Charcoal;n.d;n.d;;;;Fase 1;Structure 1.1.1;Mesolithic;Early;Initial Mesolithic;Early Mesolithic;;-9.32598;38.9423;Sousa et al 2017;Sousa, A.C., Gibaja Bao, J., Mazzuco, N., Miranda, M., Tereso, J.P.V., Oliveira, C., Gonçalves, V.S., 2017. Clay combustion structures in early Mesolithic at Cova da Baleia (Mafra, Portugal): Approaches to their functionality. J. Archaeol. Sci. Rep. https://doi.org/10.1016/j.jasrep.2017.10.049
298;Cova de Baleia;Distrito de Lisboa;Portugal;West Mediterranean;Beta-295903;8460;50;Long;AMS;Charcoal;n.d;n.d;;;;Fase 1;Structure 1.1.4;Mesolithic;Early;Initial Mesolithic;Early Mesolithic;;-9.32598;38.9423;Sousa et al 2017;Sousa, A.C., Gibaja Bao, J., Mazzuco, N., Miranda, M., Tereso, J.P.V., Oliveira, C., Gonçalves, V.S., 2017. Clay combustion structures in early Mesolithic at Cova da Baleia (Mafra, Portugal): Approaches to their functionality. J. Archaeol. Sci. Rep. https://doi.org/10.1016/j.jasrep.2017.10.049
299;Cova de Baleia;Distrito de Lisboa;Portugal;West Mediterranean;Beta-295904;8250;50;Long;AMS;Charcoal;n.d;n.d;;;;Fase 1;Structure 1.1.1;Mesolithic;Early;Initial Mesolithic;Early Mesolithic;;-9.32598;38.9423;Sousa et al 2017;Sousa, A.C., Gibaja Bao, J., Mazzuco, N., Miranda, M., Tereso, J.P.V., Oliveira, C., Gonçalves, V.S., 2017. Clay combustion structures in early Mesolithic at Cova da Baleia (Mafra, Portugal): Approaches to their functionality. J. Archaeol. Sci. Rep. https://doi.org/10.1016/j.jasrep.2017.10.049
300;Cova de Baleia;Distrito de Lisboa;Portugal;West Mediterranean;Beta-295905;8320;40;Long;AMS;Charcoal;n.d;n.d;;;;Fase 1;Structure 1.1.2;Mesolithic;Early;Initial Mesolithic;Early Mesolithic;;-9.32598;38.9423;Sousa et al 2017;Sousa, A.C., Gibaja Bao, J., Mazzuco, N., Miranda, M., Tereso, J.P.V., Oliveira, C., Gonçalves, V.S., 2017. Clay combustion structures in early Mesolithic at Cova da Baleia (Mafra, Portugal): Approaches to their functionality. J. Archaeol. Sci. Rep. https://doi.org/10.1016/j.jasrep.2017.10.049
301;Cova de Baleia;Distrito de Lisboa;Portugal;West Mediterranean;Beta-464382;8410;30;Long;AMS;Charcoal;n.d;n.d;;;;Fase 2;Structure 1.2;Mesolithic;Late;Castelnovian A;Late Mesolithic;Older than archaeological context;-9.32598;38.9423;Sousa et al 2017;Sousa, A.C., Gibaja Bao, J., Mazzuco, N., Miranda, M., Tereso, J.P.V., Oliveira, C., Gonçalves, V.S., 2017. Clay combustion structures in early Mesolithic at Cova da Baleia (Mafra, Portugal): Approaches to their functionality. J. Archaeol. Sci. Rep. https://doi.org/10.1016/j.jasrep.2017.10.049
302;Cova de Baleia;Distrito de Lisboa;Portugal;West Mediterranean;Beta-464381;7330;30;Long;AMS;Charcoal;n.d;n.d;;;;Fase 2;Structure 1.2;Mesolithic;Late;Castelnovian A;Late Mesolithic;7 trapeze / 3 segment  [dibujo. Indican 18 en total];-9.32598;38.9423;Sousa et al 2017;Sousa, A.C., Gibaja Bao, J., Mazzuco, N., Miranda, M., Tereso, J.P.V., Oliveira, C., Gonçalves, V.S., 2017. Clay combustion structures in early Mesolithic at Cova da Baleia (Mafra, Portugal): Approaches to their functionality. J. Archaeol. Sci. Rep. https://doi.org/10.1016/j.jasrep.2017.10.049
378;Cuzoul de Gramat;R. Midi Pyrenées;France;West Mediterranean;Ly-14204;6200;45;Long;Conventional;Charcoal;n.d;n.d;;;;;Hearth F1 (HA2.2);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;1.7234;44.7811;Marchand y Perrin 2017;Marchand, G., Perrin, T., 2017. Why this revolution? Explaining the major technical shift in Southwestern Europe during the 7th millennium cal. BC. Frison Inst. Symp. Int. Perspect. Clim. Change Archaeol. 428, 73–85. https://doi.org/10.1016/j.quaint.2015.07.059
379;Cuzoul de Gramat;R. Midi Pyrenées;France;West Mediterranean;Ly-14459;6760;60;Long;Conventional;Charcoal;n.d;n.d;;;;;Hearth F2b (HA2.3);Mesolithic;Late;Castelnovian n.d;Late Mesolithic;;1.7234;44.7811;Marchand y Perrin 2017;Marchand, G., Perrin, T., 2017. Why this revolution? Explaining the major technical shift in Southwestern Europe during the 7th millennium cal. BC. Frison Inst. Symp. Int. Perspect. Clim. Change Archaeol. 428, 73–85. https://doi.org/10.1016/j.quaint.2015.07.059
